"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
151712,"SAMSUNG ELECTRONICS","UA43CU8000S","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151712,"SAMSUNG ELECTRONICS","UA43CU8500S","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151712,"SAMSUNG ELECTRONICS","UA43CU8*00*","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151713,"SAMSUNG ELECTRONICS","UA50CU8000W","Vietnam",125.736,"LCD (LED)",89,"Available",4,49.5022632,"50.0"
151713,"SAMSUNG ELECTRONICS","UA50CU8000S","Vietnam",125.736,"LCD (LED)",89,"Available",4,49.5022632,"50.0"
151713,"SAMSUNG ELECTRONICS","UA50CU8500S","Vietnam",125.736,"LCD (LED)",89,"Available",4,49.5022632,"50.0"
151713,"SAMSUNG ELECTRONICS","UA50CU8*00*","Vietnam",125.736,"LCD (LED)",89,"Available",4,49.5022632,"50.0"
151714,"SAMSUNG ELECTRONICS","UA55CU8000W","Vietnam",138.783,"LCD (LED)",98,"Available",4.5,54.63886709999999,"55.0"
151714,"SAMSUNG ELECTRONICS","UA55CU8000S","Vietnam",138.783,"LCD (LED)",98,"Available",4.5,54.63886709999999,"55.0"
151714,"SAMSUNG ELECTRONICS","UA55CU8500S","Vietnam",138.783,"LCD (LED)",98,"Available",4.5,54.63886709999999,"55.0"
151714,"SAMSUNG ELECTRONICS","UA55CU8*00*","Vietnam",138.783,"LCD (LED)",98,"Available",4.5,54.63886709999999,"55.0"
151716,"SAMSUNG ELECTRONICS","UA65CU8000W","Vietnam",163.897,"LCD (LED)",123,"Available",5,64.5262489,"65.0"
151716,"SAMSUNG ELECTRONICS","UA65CU8000S","Vietnam",163.897,"LCD (LED)",123,"Available",5,64.5262489,"65.0"
151716,"SAMSUNG ELECTRONICS","UA65CU8500S","Vietnam",163.897,"LCD (LED)",123,"Available",5,64.5262489,"65.0"
151716,"SAMSUNG ELECTRONICS","UA65CU8*00*","Vietnam",163.897,"LCD (LED)",123,"Available",5,64.5262489,"65.0"
151749,"EKO","K42FSW2","China",105.415,"LCD",70.2,"Available",3.5,41.5018855,"42.0"
151761,"SAMSUNG ELECTRONICS","QA75Q70CAW","Vietnam",189.338,"LCD (LED)",158,"Available",5,74.5423706,"75.0"
151761,"SAMSUNG ELECTRONICS","QA75Q70CAS","Vietnam",189.338,"LCD (LED)",158,"Available",5,74.5423706,"75.0"
151761,"SAMSUNG ELECTRONICS","QA75Q70CA*","Vietnam",189.338,"LCD (LED)",158,"Available",5,74.5423706,"75.0"
151766,"SAMSUNG ELECTRONICS","QA85QN90CAW","Vietnam",214.783,"LCD (LED)",245,"Available",4,84.5600671,"85.0"
151766,"SAMSUNG ELECTRONICS","QA85QN90CAS","Vietnam",214.783,"LCD (LED)",245,"Available",4,84.5600671,"85.0"
151766,"SAMSUNG ELECTRONICS","QA85QN90CA*","Vietnam",214.783,"LCD (LED)",245,"Available",4,84.5600671,"85.0"
151839,"SAMSUNG ELECTRONICS","QA55Q80CAW","Vietnam",138.783,"LCD (LED)",112,"Available",4,54.63886709999999,"55.0"
151839,"SAMSUNG ELECTRONICS","QA55Q80CAS","Vietnam",138.783,"LCD (LED)",112,"Available",4,54.63886709999999,"55.0"
151839,"SAMSUNG ELECTRONICS","QA55Q80CA*","Vietnam",138.783,"LCD (LED)",112,"Available",4,54.63886709999999,"55.0"
151840,"SAMSUNG ELECTRONICS","QA32LS03CBW","Vietnam",80.008,"LCD (LED)",43,"Available",4,31.4991496,"32.0"
151841,"SAMSUNG ELECTRONICS","QA55QN85CAW","Vietnam",138.783,"LCD (LED)",112,"Available",4,54.63886709999999,"55.0"
151841,"SAMSUNG ELECTRONICS","QA55QN85CAS","Vietnam",138.783,"LCD (LED)",112,"Available",4,54.63886709999999,"55.0"
151841,"SAMSUNG ELECTRONICS","QA55QN85CA*","Vietnam",138.783,"LCD (LED)",112,"Available",4,54.63886709999999,"55.0"
151842,"SAMSUNG ELECTRONICS","QA85QN85CAW","Vietnam",214.783,"LCD (LED)",206,"Available",5,84.5600671,"85.0"
151842,"SAMSUNG ELECTRONICS","QA85QN85CAS","Vietnam",214.783,"LCD (LED)",206,"Available",5,84.5600671,"85.0"
151842,"SAMSUNG ELECTRONICS","QA85QN85CA*","Vietnam",214.783,"LCD (LED)",206,"Available",5,84.5600671,"85.0"
151845,"SAMSUNG ELECTRONICS","QA65QN800CW","Vietnam",163.897,"LCD (LED)",263,"Available",1.5,64.5262489,"65.0"
151845,"SAMSUNG ELECTRONICS","QA65QN800CS","Vietnam",163.897,"LCD (LED)",263,"Available",1.5,64.5262489,"65.0"
151845,"SAMSUNG ELECTRONICS","QA65QN800C*","Vietnam",163.897,"LCD (LED)",263,"Available",1.5,64.5262489,"65.0"
151846,"SAMSUNG ELECTRONICS","QA75QN800CW","Vietnam",189.338,"LCD (LED)",292,"Available",2.5,74.5423706,"75.0"
151846,"SAMSUNG ELECTRONICS","QA75QN800CS","Vietnam",189.338,"LCD (LED)",292,"Available",2.5,74.5423706,"75.0"
151846,"SAMSUNG ELECTRONICS","QA75QN800C*","Vietnam",189.338,"LCD (LED)",292,"Available",2.5,74.5423706,"75.0"
151847,"SAMSUNG ELECTRONICS","UA75CU8000W","Vietnam",189.338,"LCD (LED)",165,"Available",5,74.5423706,"75.0"
151847,"SAMSUNG ELECTRONICS","UA75CU8000S","Vietnam",189.338,"LCD (LED)",165,"Available",5,74.5423706,"75.0"
